,job_title,job_company,job_details,location,experience,salary,min_salary,max_salary,min_experience
118,data scientist,PT. Pintar Inovasi Digital,"['Jakarta', 'IDR\xa015.000.000 - 25.000.000', '3 – 5 tahun']",Jakarta,3 – 5 tahun,"['IDR', '15.000.000', '-', '25.000.000']",15000000,25000000,3
119,data analyst,Delos,"['Sleman', '']",Sleman,,[],0,0,0
120,data entry intern,PT Karoten Asia Pasifik,"['Jakarta', 'IDR\xa0500.000 - 1.500.000', 'Kurang dari setahun']",Jakarta,Kurang dari setahun,"['IDR', '500.000', '-', '1.500.000']",500000,1500000,0
121,data engineer,PT. Cudo Communications,"['Jakarta', 'IDR\xa06.000.000 - 6.500.000', 'Kurang dari setahun']",Jakarta,Kurang dari setahun,"['IDR', '6.000.000', '-', '6.500.000']",6000000,6500000,0
122,operations analyst,Edenfarm,"['Kembangan, Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
123,data analysis supervisor,Pt. Mcdelica Food Indonesia,"['Serang', 'IDR\xa06.800.000 - 9.200.000', '3 – 5 tahun']",Serang,3 – 5 tahun,"['IDR', '6.800.000', '-', '9.200.000']",6800000,9200000,3
124,data engineer,Yummy Corp,"['Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
125,business analyst,PT Visionet Data Internasional,"['Tangerang', '1 – 3 tahun']",Tangerang,1 – 3 tahun,[],0,0,1
126,business analyst,Clik,"['Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
127,data engineer,Mnc Portal Indonesia,"['Menteng, Jakarta', 'IDR\xa09.000.000 - 15.000.000', '1 – 3 tahun']",Jakarta,1 – 3 tahun,"['IDR', '9.000.000', '-', '15.000.000']",9000000,15000000,1
128,data scientist,Danamas (Lancar by Danamas),"['Jakarta', 'IDR\xa010.000.000 - 20.000.000', '1 – 3 tahun']",Jakarta,1 – 3 tahun,"['IDR', '10.000.000', '-', '20.000.000']",10000000,20000000,1
129,data scientist,Lyte Ventures Pte Ltd,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
130,data analytic,JULO,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
132,data engineer,Hypebeast,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
133,data scientist,Kumparan,"['Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
134,head of data,PT. Koltiva,"['Jakarta', '5 – 10 tahun']",Jakarta,5 – 10 tahun,[],0,0,5
135,farm to table data officer,PT. Koltiva,"['Mampang Prapatan, Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
136,it data center operator,PT Visionet Data Internasional,"['Jakarta', 'Kurang dari setahun']",Jakarta,Kurang dari setahun,[],0,0,0
137,data engineer,PT Transretail Indonesia,"['Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
138,head of data,PT. Koltiva,"['Jakarta', '5 – 10 tahun']",Jakarta,5 – 10 tahun,[],0,0,5
139,business intelligence analyst ,Pt Krakatau Karya Abadi,"['Surabaya', 'IDR\xa05.000.000 - 8.000.000', '1 – 3 tahun']",Surabaya,1 – 3 tahun,"['IDR', '5.000.000', '-', '8.000.000']",5000000,8000000,1
